cve_periodo,cve_institucion,sector,plazo_venc,plazo,tasa,cve_tipo_moneda
201512,040021,5,37.12,45.56,3.01,1
201612,040044,1,37.2,55.07,4.15,1
201512,040044,23611,38.01,43.35,3.92,1
201612,040002,7,64.81,76.88,3.28,1
201512,040002,11,23.97,32.23,2.4,1
201612,040002,5999,47.55,70.51,2.68,1
201612,040044,14,30.21,14.89,7,1
201512,040012,9,27.05,34.05,2.38,1
201512,040044,20,28.19,57.46,3.68,1
201512,040044,15,42.05,58.2,3.37,1
201512,040021,15,32.8,43.51,3.99,1
201512,040012,10,80.06,100.3,3.28,1
201512,040072,21,19.09,29.29,2.49,1
201612,040044,5999,23.74,61.04,3.85,1
201512,040044,5,34.86,62.35,3.61,1
201612,040044,20,38.23,57.9,3.31,1
201612,040012,5,52.58,69.23,4.14,1
201512,040044,23,29.8,54.23,3.62,1
201512,040012,21,12.96,19.33,2.2,1
201512,040036,4,82.92,92.53,6.75,1
201612,040012,8,28.34,35.89,2.99,1
201512,040021,11,24.4,31.32,3.21,1
201512,040012,5,58.19,70.29,3.94,1
201512,040036,1,50.28,58.07,5.96,1
201612,040021,5,31.7,54.07,3.56,1
201612,040012,5999,63.57,86.04,4.1,1
201512,040002,1,23.78,31.23,2.4,1
201512,040002,12,21.68,33.92,1.25,1
201512,040014,7,44.3,71.39,3.67,1
201512,040002,4,5.61,15.73,0.68,1
201612,040002,15,43,51.29,3.28,1
201612,040044,21,46.06,60.16,4.3,1
201512,040002,13,20.94,25.55,3.03,1
201612,040036,15,70.07,69.82,5.68,1
201512,040002,16,53.2,65.37,3.47,1
201612,040014,12,45.24,56.88,4.29,1
201612,040012,23611,35.23,43.55,4.35,1
201512,040072,5,94.38,101.99,4.34,1
201512,040002,20,19.28,28.61,3.41,1
201512,040072,14,20.67,34.75,5,1
201512,040014,16,57.22,66.06,4.03,1
201512,040072,13,18.7,26,5.08,1
201512,040036,5,172.67,196.78,5.28,1
201512,040036,22,24.89,19.58,8.76,1
201612,040002,14,37.43,48.07,3.49,1
201512,040044,9,14.09,39.57,3.87,1
201512,040002,5999,53.37,72.91,2.33,1
201612,040014,20,17.38,25.27,2.81,1
201512,040072,5999,109.14,123.21,4.3,1
201612,040002,5,42.88,67.26,3,1
201512,040072,4,49.2,54.47,3.88,1
201612,040014,15,46.27,54.98,3.68,1
201612,040072,3,27.8,37.86,4.46,1
201612,040021,16,27.13,33.28,4.08,1
201512,040014,4,14.31,22.5,2.8,1
201612,040002,16,47.05,63.71,4.06,1
201612,040036,6,74.6,86.34,6.69,1
201612,040044,9,53.49,56.64,3.96,1
201612,040044,15,43.33,60.88,3.85,1
201512,040044,5999,33.75,71.58,3.55,1
201612,040012,23,42.82,54.58,3.58,1
201612,040002,13,19.06,23.94,3.7,1
201612,040036,1,61.12,84.01,5.9,1
201612,040002,12,49.66,56.49,1.5,1
201512,040072,11,35.1,45.64,3.28,1
201512,040021,14,34.2,49.34,5.07,1
201612,040014,22,40.87,56.96,4.32,1
201512,040072,15,61.95,77.14,4.86,1
201612,040012,11,28.95,39.29,3.11,1
201612,040072,5999,117.06,132.32,4.9,1
201612,040012,14,33.01,49.55,3.16,1
201612,040002,22,27.9,29.81,4.02,1
201512,040072,10,90.4,108.91,4.68,1
201612,040072,10,106.01,127.54,5.37,1
201512,040072,1,27.82,40.53,4.9,1
201612,040021,4,20.16,37.53,3.52,1
201512,040014,3,21.97,30.51,4.11,1
201612,040044,5,25.1,56.42,3.91,1
201612,040044,23611,30.26,42.05,4.26,1
201512,040036,5999,192.66,218.85,5.15,1
201512,040044,14,3.5,14.84,5.91,1
201512,040021,23611,19.54,18.65,4.61,1
201512,040021,10,43.78,51.96,3.12,1
201612,040012,1,26.98,37.78,4.83,1
201512,040021,16,33.32,43.8,3.63,1
201612,040002,11,24.5,33.25,2.82,1
201612,040072,15,75.55,89.22,5.04,1
201512,040021,1,22.2,28.86,3.07,1
201512,040072,20,19.79,28.02,4.22,1
201612,040012,4,33.57,45.47,3.31,1
201612,040036,3,47.22,86.14,9.02,1
201512,040036,13,29.04,47.25,3.03,1
201612,040021,5999,33.18,57.25,3.56,1
201512,040002,15,34.42,43.61,3.03,1
201612,040012,7,82.62,102.32,4.09,1
201512,040021,3,26.5,32.19,3.55,1
201612,040072,20,15.83,24.62,4.38,1
201612,040021,9,14.6,25.31,4.12,1
201512,040044,21,44.42,60.86,4.18,1
201612,040021,23,45.78,69.13,4.61,1
201512,040012,16,52.54,67.01,3.07,1
201612,040012,22,32.4,43.2,4.23,1
201512,040012,13,36.45,54.46,6.25,1
201512,040014,11,26.16,35.4,3.15,1
201612,040012,15,59.22,73.39,9.02,2
201612,040012,13,31.01,47.54,9.44,2
201512,040002,5,48.29,68.58,9.89,2
201512,040002,7,64.48,79.05,10,2
201512,040014,15,38.97,48.31,10,2
201512,040072,3,30.38,39.48,10,2
201612,040012,3,24.27,32.18,9.32,2
201612,040002,5999,47.55,70.51,10,2
201612,040012,5,52.58,69.23,9.19,2
201612,040012,5999,63.57,86.04,9.19,2
201512,040002,5999,53.37,72.91,9.89,2
201612,040002,5,42.88,67.26,10,2
201612,040014,15,46.27,54.98,10,2
201612,040012,1,26.98,37.78,9.59,2
