cve_periodo,cve_institucion,Concentracion,Monto_Acumulado,Participacion_Acumulada
201506,040072,Cliente 4,12057718092,0.0714
201611,040012,Cliente 180,1.97983E+11,0.5091
201606,040044,Cliente 180,59999791987,0.6966
201607,040021,Cliente 140,91320512822,0.6871
201607,040014,Cliente 1,6818184900,0.0253
201502,040012,Cliente 90,1.1877E+11,0.4204
201512,040002,Cliente 1000,1.67453E+11,0.7901
201604,040014,Cliente 9,34699566801,0.1431
201501,040012,Cliente 15,52787684920,0.1864
201502,040072,Cliente 5,14186542011,0.0834
201608,040044,Cliente 160,62594047080,0.6817
201612,040036,Cliente 130,1.67313E+11,0.9439
201602,040014,Cliente 6,36174731042,0.1431
201609,040036,Cliente 150,1.6197E+11,0.9481
201509,040012,Cliente 18,64735588820,0.2042
201606,040036,Cliente 180,1.52511E+11,0.9546
201602,040002,Cliente 1,16293968134,0.0766
201610,040072,Cliente 40,66035492689,0.3416
201607,040014,Cliente 3,18199882093,0.0676
201508,040012,Cliente 15,54621637243,0.1778
201610,040036,Cliente 100,1.53482E+11,0.9122
201507,040021,Cliente 400,1.02857E+11,0.8694
201601,040036,Cliente 130,1.5014E+11,0.934
201505,040012,Cliente 50,98742525227,0.3296
201510,040002,Cliente 120,94354402211,0.4713
201608,040002,Cliente 9,25805326540,0.1155
201609,040002,Cliente 18,42594362717,0.1861
201508,040036,Cliente 400,1.50718E+11,0.9861
201507,040014,Cliente 3,22283875748,0.0971
201606,040036,Cliente 80,1.39912E+11,0.8758
201502,040012,Cliente 140,1.38762E+11,0.4912
201503,040021,Cliente 170,85571759911,0.7301
201507,040072,Cliente 400,1.16584E+11,0.6797
201609,040002,Cliente 5,17788191046,0.0777
201604,040072,Cliente 100,89569202769,0.4868
201605,040072,Cliente 8,24956312933,0.1336
201609,040002,Cliente 12,32956499695,0.144
201603,040036,Cliente 10,58157208658,0.3701
201501,040036,Cliente 7,38986489411,0.2763
201610,040036,Cliente 130,1.5771E+11,0.9373
201502,040012,Cliente 20,60509523967,0.2142
201501,040036,Cliente 170,1.32509E+11,0.939
201612,040012,Cliente 400,2.49649E+11,0.64
201512,040014,Cliente 13,42991665017,0.1708
201501,040014,Cliente 9,28589693077,0.13
201505,040036,Cliente 200,1.50978E+11,0.9589
201507,040012,Cliente 8,36524321687,0.122
201604,040072,Cliente 90,86641539027,0.4709
201504,040002,Cliente 7,23386563986,0.1303
201503,040002,Cliente 500,1.28963E+11,0.7107
201503,040036,Cliente 17,75212946942,0.5077
201504,040072,Cliente 100,79605452369,0.4715
201501,040012,Cliente 180,1.50182E+11,0.5302
201604,040021,Cliente 190,99518110432,0.7586
201610,040002,Cliente 13,34160416097,0.1473
201509,040072,Cliente 13,31338620480,0.1822
201611,040002,Cliente 18,46765503345,0.1904
201603,040044,Cliente 9,17553152578,0.2186
201501,040012,Cliente 60,1.01089E+11,0.3569
201505,040002,Cliente 140,94344339774,0.5085
201504,040044,Cliente 140,41140208416,0.6584
201611,040002,Cliente 5,21327318580,0.0868
201605,040072,Cliente 50,72421480671,0.3877
201612,040002,Cliente 300,1.50282E+11,0.6165
201610,040002,Cliente 9,26606350349,0.1147
201511,040021,Cliente 17,31544663968,0.2567
201607,040072,Cliente 6,19368659586,0.1002
201506,040072,Cliente 10,25453112824,0.1508
201604,040014,Cliente 100,95134745453,0.3924
